@relation test_NONAME_NOCABIN_NOTICKET

@attribute PassengerId numeric
@attribute Survived {0, 1}
@attribute Pclass numeric
@attribute Sex {male,female}
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,Q}

@data
965,0,1,male,28.5,0,0,27.7208,C
966,0,1,female,35,0,0,211.5,C
967,0,1,male,32.5,0,0,211.5,C
968,0,3,male,?,0,0,8.05,S
969,0,1,female,55,2,0,25.7,S
970,0,2,male,30,0,0,13,S
971,0,3,female,24,0,0,7.75,Q
972,0,3,male,6,1,1,15.2458,C
973,0,1,male,67,1,0,221.7792,S
974,0,1,male,49,0,0,26,S
975,0,3,male,?,0,0,7.8958,S
976,0,2,male,?,0,0,10.7083,Q
977,0,3,male,?,1,0,14.4542,C
978,0,3,female,27,0,0,7.8792,Q
979,0,3,female,18,0,0,8.05,S
980,0,3,female,?,0,0,7.75,Q
981,0,2,male,2,1,1,23,S
982,0,3,female,22,1,0,13.9,S
983,0,3,male,?,0,0,7.775,S
984,0,1,female,27,1,2,52,S
985,0,3,male,?,0,0,8.05,S
986,0,1,male,25,0,0,26,C
987,0,3,male,25,0,0,7.7958,S
988,0,1,female,76,1,0,78.85,S
989,0,3,male,29,0,0,7.925,S
990,0,3,female,20,0,0,7.8542,S
991,0,3,male,33,0,0,8.05,S
992,0,1,female,43,1,0,55.4417,C
993,0,2,male,27,1,0,26,S
994,0,3,male,?,0,0,7.75,Q
995,0,3,male,26,0,0,7.775,S
996,0,3,female,16,1,1,8.5167,C
997,0,3,male,28,0,0,22.525,S
998,0,3,male,21,0,0,7.8208,Q
999,0,3,male,?,0,0,7.75,Q
1000,0,3,male,?,0,0,8.7125,S
1001,0,2,male,18.5,0,0,13,S
1002,0,2,male,41,0,0,15.0458,C
1003,0,3,female,?,0,0,7.7792,Q
1004,0,1,female,36,0,0,31.6792,C
1005,0,3,female,18.5,0,0,7.2833,Q
1006,0,1,female,63,1,0,221.7792,S
1007,0,3,male,18,1,0,14.4542,C
1008,0,3,male,?,0,0,6.4375,C
1009,0,3,female,1,1,1,16.7,S
1010,0,1,male,36,0,0,75.2417,C
1011,0,2,female,29,1,0,26,S
1012,0,2,female,12,0,0,15.75,S
1013,0,3,male,?,1,0,7.75,Q
1014,0,1,female,35,1,0,57.75,C
1015,0,3,male,28,0,0,7.25,S
1016,0,3,male,?,0,0,7.75,Q
1017,0,3,female,17,0,1,16.1,S
1018,0,3,male,22,0,0,7.7958,S
1019,0,3,female,?,2,0,23.25,Q
1020,0,2,male,42,0,0,13,S
1021,0,3,male,24,0,0,8.05,S
1022,0,3,male,32,0,0,8.05,S
1023,0,1,male,53,0,0,28.5,C
1024,0,3,female,?,0,4,25.4667,S
1025,0,3,male,?,1,0,6.4375,C
1026,0,3,male,43,0,0,7.8958,S
1027,0,3,male,24,0,0,7.8542,S
1028,0,3,male,26.5,0,0,7.225,C
1029,0,2,male,26,0,0,13,S
1030,0,3,female,23,0,0,8.05,S
1031,0,3,male,40,1,6,46.9,S
1032,0,3,female,10,5,2,46.9,S
1033,0,1,female,33,0,0,151.55,S
1034,0,1,male,61,1,3,262.375,C
1035,0,2,male,28,0,0,26,S
1036,0,1,male,42,0,0,26.55,S
1037,0,3,male,31,3,0,18,S
1038,0,1,male,?,0,0,51.8625,S
1039,0,3,male,22,0,0,8.05,S
1040,0,1,male,?,0,0,26.55,S
1041,0,2,male,30,1,1,26,S
1042,0,1,female,23,0,1,83.1583,C
1043,0,3,male,?,0,0,7.8958,C
1044,0,3,male,60.5,0,0,?,S
1045,0,3,female,36,0,2,12.1833,S
1046,0,3,male,13,4,2,31.3875,S
1047,0,3,male,24,0,0,7.55,S
1048,0,1,female,29,0,0,221.7792,S
1049,0,3,female,23,0,0,7.8542,S
1050,0,1,male,42,0,0,26.55,S
1051,0,3,female,26,0,2,13.775,S
1052,0,3,female,?,0,0,7.7333,Q
1053,0,3,male,7,1,1,15.2458,C
1054,0,2,female,26,0,0,13.5,S
1055,0,3,male,?,0,0,7,S
1056,0,2,male,41,0,0,13,S
1057,0,3,female,26,1,1,22.025,S
1058,0,1,male,48,0,0,50.4958,C
1059,0,3,male,18,2,2,34.375,S
1060,0,1,female,?,0,0,27.7208,C
1061,0,3,female,22,0,0,8.9625,S
1062,0,3,male,?,0,0,7.55,S
1063,0,3,male,27,0,0,7.225,C
1064,0,3,male,23,1,0,13.9,S
1065,0,3,male,?,0,0,7.2292,C
1066,0,3,male,40,1,5,31.3875,S
1067,0,2,female,15,0,2,39,S
1068,0,2,female,20,0,0,36.75,S
1069,0,1,male,54,1,0,55.4417,C
1070,0,2,female,36,0,3,39,S
1071,0,1,female,64,0,2,83.1583,C
1072,0,2,male,30,0,0,13,S
1073,0,1,male,37,1,1,83.1583,C
1074,0,1,female,18,1,0,53.1,S
1075,0,3,male,?,0,0,7.75,Q
1076,0,1,female,27,1,1,247.5208,C
1077,0,2,male,40,0,0,16,S
1078,0,2,female,21,0,1,21,S
1079,0,3,male,17,2,0,8.05,S
1080,0,3,female,?,8,2,69.55,S
1081,0,2,male,40,0,0,13,S
1082,0,2,male,34,1,0,26,S
1083,0,1,male,?,0,0,26,S
1084,0,3,male,11.5,1,1,14.5,S
1085,0,2,male,61,0,0,12.35,Q
1086,0,2,male,8,0,2,32.5,S
1087,0,3,male,33,0,0,7.8542,S
1088,0,1,male,6,0,2,134.5,C
1089,0,3,female,18,0,0,7.775,S
1090,0,2,male,23,0,0,10.5,S
1091,0,3,female,?,0,0,8.1125,S
1092,0,3,female,?,0,0,15.5,Q
1093,0,3,male,0.33,0,2,14.4,S
1094,0,1,male,47,1,0,227.525,C
1095,0,2,female,8,1,1,26,S
1096,0,2,male,25,0,0,10.5,S
1097,0,1,male,?,0,0,25.7417,C
1098,0,3,female,35,0,0,7.75,Q
1099,0,2,male,24,0,0,10.5,S
1100,0,1,female,33,0,0,27.7208,C
1101,0,3,male,25,0,0,7.8958,S
1102,0,3,male,32,0,0,22.525,S
1103,0,3,male,?,0,0,7.05,S
1104,0,2,male,17,0,0,73.5,S
1105,0,2,female,60,1,0,26,S
1106,0,3,female,38,4,2,7.775,S
1107,0,1,male,42,0,0,42.5,S
1108,0,3,female,?,0,0,7.8792,Q
1109,0,1,male,57,1,1,164.8667,S
1110,0,1,female,50,1,1,211.5,C
1111,0,3,male,?,0,0,8.05,S
1112,0,2,female,30,1,0,13.8583,C
1113,0,3,male,21,0,0,8.05,S
1114,0,2,female,22,0,0,10.5,S
1115,0,3,male,21,0,0,7.7958,S
1116,0,1,female,53,0,0,27.4458,C
1117,0,3,female,?,0,2,15.2458,C
1118,0,3,male,23,0,0,7.7958,S
1119,0,3,female,?,0,0,7.75,Q
1120,0,3,male,40.5,0,0,15.1,S
1121,0,2,male,36,0,0,13,S
1122,0,2,male,14,0,0,65,S
1123,0,1,female,21,0,0,26.55,S
1124,0,3,male,21,1,0,6.4958,S
1125,0,3,male,?,0,0,7.8792,Q
1126,0,1,male,39,1,0,71.2833,C
1127,0,3,male,20,0,0,7.8542,S
1128,0,1,male,64,1,0,75.25,C
1129,0,3,male,20,0,0,7.225,C
1130,0,2,female,18,1,1,13,S
1131,0,1,female,48,1,0,106.425,C
1132,0,1,female,55,0,0,27.7208,C
1133,0,2,female,45,0,2,30,S
1134,0,1,male,45,1,1,134.5,C
1135,0,3,male,?,0,0,7.8875,S
1136,0,3,male,?,1,2,23.45,S
1137,0,1,male,41,1,0,51.8625,S
1138,0,2,female,22,0,0,21,S
1139,0,2,male,42,1,1,32.5,S
1140,0,2,female,29,1,0,26,S
1141,0,3,female,?,1,0,14.4542,C
1142,0,2,female,0.92,1,2,27.75,S
1143,0,3,male,20,0,0,7.925,S
1144,0,1,male,27,1,0,136.7792,C
1145,0,3,male,24,0,0,9.325,S
1146,0,3,male,32.5,0,0,9.5,S
1147,0,3,male,?,0,0,7.55,S
1148,0,3,male,?,0,0,7.75,Q
1149,0,3,male,28,0,0,8.05,S
1150,0,2,female,19,0,0,13,S
1151,0,3,male,21,0,0,7.775,S
1152,0,3,male,36.5,1,0,17.4,S
1153,0,3,male,21,0,0,7.8542,S
1154,0,2,female,29,0,2,23,S
1155,0,3,female,1,1,1,12.1833,S
1156,0,2,male,30,0,0,12.7375,C
1157,0,3,male,?,0,0,7.8958,S
1158,0,1,male,?,0,0,0,S
1159,0,3,male,?,0,0,7.55,S
1160,0,3,female,?,0,0,8.05,S
1161,0,3,male,17,0,0,8.6625,S
1162,0,1,male,46,0,0,75.2417,C
1163,0,3,male,?,0,0,7.75,Q
1164,0,1,female,26,1,0,136.7792,C
1165,0,3,female,?,1,0,15.5,Q
1166,0,3,male,?,0,0,7.225,C
1167,0,2,female,20,1,0,26,S
1168,0,2,male,28,0,0,10.5,S
1169,0,2,male,40,1,0,26,S
1170,0,2,male,30,1,0,21,S
1171,0,2,male,22,0,0,10.5,S
1172,0,3,female,23,0,0,8.6625,S
1173,0,3,male,0.75,1,1,13.775,S
1174,0,3,female,?,0,0,7.75,Q
1175,0,3,female,9,1,1,15.2458,C
1176,0,3,female,2,1,1,20.2125,S
1177,0,3,male,36,0,0,7.25,S
1178,0,3,male,?,0,0,7.25,S
1179,0,1,male,24,1,0,82.2667,S
1180,0,3,male,?,0,0,7.2292,C
1181,0,3,male,?,0,0,8.05,S
1182,0,1,male,?,0,0,39.6,S
1183,0,3,female,30,0,0,6.95,Q
1184,0,3,male,?,0,0,7.2292,C
1185,0,1,male,53,1,1,81.8583,S
1186,0,3,male,36,0,0,9.5,S
1187,0,3,male,26,0,0,7.8958,S
1188,0,2,female,1,1,2,41.5792,C
1189,0,3,male,?,2,0,21.6792,C
1190,0,1,male,30,0,0,45.5,S
1191,0,3,male,29,0,0,7.8542,S
1192,0,3,male,32,0,0,7.775,S
1193,0,2,male,?,0,0,15.0458,C
1194,0,2,male,43,0,1,21,S
1195,0,3,male,24,0,0,8.6625,S
1196,0,3,female,?,0,0,7.75,Q
1197,0,1,female,64,1,1,26.55,S
1198,0,1,male,30,1,2,151.55,S
1199,0,3,male,0.83,0,1,9.35,S
1200,0,1,male,55,1,1,93.5,S
1201,0,3,female,45,1,0,14.1083,S
1202,0,3,male,18,0,0,8.6625,S
1203,0,3,male,22,0,0,7.225,C
1204,0,3,male,?,0,0,7.575,S
1205,0,3,female,37,0,0,7.75,Q
1206,0,1,female,55,0,0,135.6333,C
1207,0,3,female,17,0,0,7.7333,Q
1208,0,1,male,57,1,0,146.5208,C
1209,0,2,male,19,0,0,10.5,S
1210,0,3,male,27,0,0,7.8542,S
1211,0,2,male,22,2,0,31.5,S
1212,0,3,male,26,0,0,7.775,S
1213,0,3,male,25,0,0,7.2292,C
1214,0,2,male,26,0,0,13,S
1215,0,1,male,33,0,0,26.55,S
1216,0,1,female,39,0,0,211.3375,S
1217,0,3,male,23,0,0,7.05,S
1218,0,2,female,12,2,1,39,S
1219,0,1,male,46,0,0,79.2,C
1220,0,2,male,29,1,0,26,S
1221,0,2,male,21,0,0,13,S
1222,0,2,female,48,0,2,36.75,S
1223,0,1,male,39,0,0,29.7,C
1224,0,3,male,?,0,0,7.225,C
1225,0,3,female,19,1,1,15.7417,C
1226,0,3,male,27,0,0,7.8958,S
1227,0,1,male,30,0,0,26,S
1228,0,2,male,32,0,0,13,S
1229,0,3,male,39,0,2,7.2292,C
1230,0,2,male,25,0,0,31.5,S
1231,0,3,male,?,0,0,7.2292,C
1232,0,2,male,18,0,0,10.5,S
1233,0,3,male,32,0,0,7.5792,S
1234,0,3,male,?,1,9,69.55,S
1235,0,1,female,58,0,1,512.3292,C
1236,0,3,male,?,1,1,14.5,S
1237,0,3,female,16,0,0,7.65,S
1238,0,2,male,26,0,0,13,S
1239,0,3,female,38,0,0,7.2292,C
1240,0,2,male,24,0,0,13.5,S
1241,0,2,female,31,0,0,21,S
1242,0,1,female,45,0,1,63.3583,C
1243,0,2,male,25,0,0,10.5,S
1244,0,2,male,18,0,0,73.5,S
1245,0,2,male,49,1,2,65,S
1246,0,3,female,0.17,1,2,20.575,S
1247,0,1,male,50,0,0,26,S
1248,0,1,female,59,2,0,51.4792,S
1249,0,3,male,?,0,0,7.8792,S
1250,0,3,male,?,0,0,7.75,Q
1251,0,3,female,30,1,0,15.55,S
1252,0,3,male,14.5,8,2,69.55,S
1253,0,2,female,24,1,1,37.0042,C
1254,0,2,female,31,0,0,21,S
1255,0,3,male,27,0,0,8.6625,S
1256,0,1,female,25,1,0,55.4417,C
1257,0,3,female,?,1,9,69.55,S
1258,0,3,male,?,1,0,14.4583,C
1259,0,3,female,22,0,0,39.6875,S
1260,0,1,female,45,0,1,59.4,C
1261,0,2,male,29,0,0,13.8583,C
1262,0,2,male,21,1,0,11.5,S
1263,0,1,female,31,0,0,134.5,C
1264,0,1,male,49,0,0,0,S
1265,0,2,male,44,0,0,13,S
1266,0,1,female,54,1,1,81.8583,S
1267,0,1,female,45,0,0,262.375,C
1268,0,3,female,22,2,0,8.6625,S
1269,0,2,male,21,0,0,11.5,S
1270,0,1,male,55,0,0,50,S
1271,0,3,male,5,4,2,31.3875,S
1272,0,3,male,?,0,0,7.75,Q
1273,0,3,male,26,0,0,7.8792,Q
1274,0,3,female,?,0,0,14.5,S
1275,0,3,female,19,1,0,16.1,S
1276,0,2,male,?,0,0,12.875,S
1277,0,2,female,24,1,2,65,S
1278,0,3,male,24,0,0,7.775,S
1279,0,2,male,57,0,0,13,S
1280,0,3,male,21,0,0,7.75,Q
1281,0,3,male,6,3,1,21.075,S
1282,0,1,male,23,0,0,93.5,S
1283,0,1,female,51,0,1,39.4,S
1284,0,3,male,13,0,2,20.25,S
1285,0,2,male,47,0,0,10.5,S
1286,0,3,male,29,3,1,22.025,S
1287,0,1,female,18,1,0,60,S
1288,0,3,male,24,0,0,7.25,Q
1289,0,1,female,48,1,1,79.2,C
1290,0,3,male,22,0,0,7.775,S
1291,0,3,male,31,0,0,7.7333,Q
1292,0,1,female,30,0,0,164.8667,S
1293,0,2,male,38,1,0,21,S
1294,0,1,female,22,0,1,59.4,C
1295,0,1,male,17,0,0,47.1,S
1296,0,1,male,43,1,0,27.7208,C
1297,0,2,male,20,0,0,13.8625,C
1298,0,2,male,23,1,0,10.5,S
1299,0,1,male,50,1,1,211.5,C
1300,0,3,female,?,0,0,7.7208,Q
1301,0,3,female,3,1,1,13.775,S
1302,0,3,female,?,0,0,7.75,Q
1303,0,1,female,37,1,0,90,Q
1304,0,3,female,28,0,0,7.775,S
1305,0,3,male,?,0,0,8.05,S
1306,0,1,female,39,0,0,108.9,C
1307,0,3,male,38.5,0,0,7.25,S
1308,0,3,male,?,0,0,8.05,S
1309,0,3,male,?,1,1,22.3583,C
